Date,Name,Year,Letterboxd URI
2021-07-27,Parasite,2019,https://boxd.it/hTha
2021-07-27,Joker,2019,https://boxd.it/h4cS
2021-07-27,Knives Out,2019,https://boxd.it/jWEA
2021-07-27,Pulp Fiction,1994,https://boxd.it/29Pq
2021-07-27,Inception,2010,https://boxd.it/1skk
2021-07-27,Get Out,2017,https://boxd.it/eOCm
2021-07-27,Fight Club,1999,https://boxd.it/2a9q
2021-07-27,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2021-07-27,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2021-07-27,Midsommar,2019,https://boxd.it/jhxe
2021-07-27,The Dark Knight,2008,https://boxd.it/2b0k
2021-07-27,Baby Driver,2017,https://boxd.it/bhF2
2021-07-27,Avengers: Infinity War,2018,https://boxd.it/9vEe
2021-07-27,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2021-07-27,Black Panther,2018,https://boxd.it/8MHs
2021-07-27,Whiplash,2014,https://boxd.it/7bQA
2021-07-27,Her,2013,https://boxd.it/4O24
2021-07-27,Avengers: Endgame,2019,https://boxd.it/9vE4
2021-07-27,Gone Girl,2014,https://boxd.it/6hQu
2021-07-27,Spirited Away,2001,https://boxd.it/2b4m
2021-07-27,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2021-07-27,Arrival,2016,https://boxd.it/aNGk
2021-07-27,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2021-07-27,Uncut Gems,2019,https://boxd.it/gXGc
2021-07-27,The Social Network,2010,https://boxd.it/17ue
2021-07-27,The Silence of the Lambs,1991,https://boxd.it/2aHW
2021-07-27,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2021-07-27,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2021-07-27,Moonlight,2016,https://boxd.it/d6bE
2021-07-27,1917,2019,https://boxd.it/jj4y
2021-07-27,Hereditary,2018,https://boxd.it/hNVe
2021-07-27,The Truman Show,1998,https://boxd.it/18U8
2021-07-27,Soul,2020,https://boxd.it/ioLA
2021-07-27,The Godfather,1972,https://boxd.it/2aNK
2021-07-27,Thor: Ragnarok,2017,https://boxd.it/8MHi
2021-07-27,Marriage Story,2019,https://boxd.it/hJAw
2021-07-27,Dunkirk,2017,https://boxd.it/d0Y6
2021-07-27,Se7en,1995,https://boxd.it/29zs
2021-07-27,A Quiet Place,2018,https://boxd.it/fVJQ
2021-07-27,Us,2019,https://boxd.it/gnV6
2021-07-27,The Matrix,1999,https://boxd.it/2a1m
2021-07-27,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2021-07-27,Blade Runner 2049,2017,https://boxd.it/b8wK
2021-07-27,Taxi Driver,1976,https://boxd.it/2b8y
2021-07-27,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2021-07-27,Black Swan,2010,https://boxd.it/Sw0
2021-07-27,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2021-07-27,Tenet,2020,https://boxd.it/leq4
2021-07-27,The Shape of Water,2017,https://boxd.it/dZ5m
2021-07-27,American Psycho,2000,https://boxd.it/28Vs
2021-07-27,Nightcrawler,2014,https://boxd.it/780m
2021-07-27,Captain America: Civil War,2016,https://boxd.it/89Ja
2021-07-27,Ex Machina,2015,https://boxd.it/7T2k
2021-07-27,GoodFellas,1990,https://boxd.it/29FA
2021-07-27,No Country for Old Men,2007,https://boxd.it/21ew
2021-07-27,Booksmart,2019,https://boxd.it/igNS
2021-07-27,Zodiac,2007,https://boxd.it/27MO
2021-07-27,Donnie Darko,2001,https://boxd.it/2b2A
2021-07-27,Logan,2017,https://boxd.it/7Piy
